year,emo,pop punk,metalcore,screamo,pixie,punk
1995,4,3,0,0,0,5
1996,2,7,1,0,0,9
1997,2,13,1,0,0,13
1998,6,10,2,0,0,14
1999,4,11,3,0,0,11
2000,4,15,2,1,0,12
2001,11,23,1,3,1,19
2002,24,40,7,14,2,24
2003,22,32,7,16,1,15
2004,29,37,10,23,4,20
2005,43,53,21,33,6,20
2006,31,38,15,27,6,11
2007,36,48,28,42,15,21
2008,36,54,28,36,17,20
2009,20,35,14,18,13,14
2010,22,35,16,23,19,15
2011,23,31,17,22,16,10
2012,23,33,25,35,24,6
2013,28,41,32,42,36,7
2014,26,35,30,43,35,6
2015,22,36,26,37,44,2
2016,24,39,26,36,38,10
2017,11,24,28,28,28,14
